year,month,day,raisin,simone,gagne
2018,08,12,19.75,10.875,10.625
2018,08,19,20.1875,11.125,10.75
2018,08,22,20.25,11.25,10.8125
2018,08,24,19.8125,11.25,11.0625
2018,08,27,19.375,10.5,10.375
2018,08,28,NA,NA,NA
2018,08,29,19.375,11,11.0625
2018,08,30,NA,NA,NA
2018,08,31,19.5625,11,10.75
2018,09,01,NA,NA,NA
2018,09,02,19.625,10.8125,10.625
2018,09,03,19.5,10.9375,10.8125
2018,09,04,19.5625,11,10.9375
2018,09,05,19.5,11.125,11
2018,09,06,19.4375,11,10.6875
2018,09,07,19.375,11.0625,11.125
2018,09,08,19.4375,11.25,10.9375
2018,09,09,19.5,11.125,10.8125
2018,09,10,19.4375,11.125,10.8125
2018,09,11,19.5,10.9375,11
2018,09,12,19.5,11.0625,11
2018,09,13,19.4375,11.1875,11
2018,09,14,19.625,11.0625,11.0625
2018,09,15,19.5,NA,NA
2018,09,16,19.5625,11,11.0625
2018,10,01,19,10.25,10.25
2018,10,02,19.375,11,10.75
2018,10,03,19,10.625,10.1875
2018,10,04,18.9375,10.5625,10.25
2018,10,09,19.625,10.625,10.6875
2018,10,10,19.125,10.6875,10.6875
2018,10,11,19.125,10.6875,10.5625
2018,10,12,19.0625,10.625,10.6875
2018,10,13,19.3125,10.5625,10.6875
2018,10,14,19.0625,10.5625,10.6875
2018,10,15,19.25,NA,NA
2018,10,16,18.8125,10.6875,10.6875
2018,10,17,18.9375,10.8125,10.8125
2018,10,18,18.875,10.75,10.8125
2018,10,22,NA,10.25,10.3125
2018,10,23,18.5,10.5,10.5
2018,10,24,18.4375,10.75,10.5625
2018,10,25,18.4375,10.5,10.5625
2018,10,26,18.5,10.5,10.6875
2018,10,27,18.625,10.5625,10.75
2018,10,28,18.375,10.5625,10.75
2018,10,29,18.5625,10.5,10.625
2018,10,30,18.5,10.5625,10.625
2018,10,31,18.4375,10.625,10.75
2018,11,01,18.4375,10.5,10.6875
2018,11,02,18.375,10.375,10.5625
2018,11,04,18.6875,10.6875,10.8125
2018,11,05,18.4375,10.5,10.6875
2018,11,06,18.4375,10.5,10.75
2018,11,18,19.4375,NA,NA
2018,11,19,19,10.4375,10.875
2018,11,20,18.5625,10.4375,10.5625
2018,11,21,18.4375,10.5,10.6875
2018,11,22,18.5,10.3125,10.6875
2018,11,23,18.4375,10.25,10.5
2018,11,29,18.3125,10.5,10.625
2018,12,01,18.25,10.375,10.4375
2018,12,04,18.4375,10.375,10.625
2018,12,05,18.25,10.4375,10.75
2018,12,06,18.1875,10.5,10.6875
2018,12,08,18.25,10.6875,10.875
2018,12,09,18.1875,10.5,10.8125
2018,12,10,18.125,NA,NA
2018,12,11,18.25,10.625,10.875
2018,12,17,17.9375,10.125,10.375
2018,12,18,17.875,10.125,10.6875
2019,01,08,17.9375,10,10.3125
2019,01,10,17.8125,10.125,10.375
2019,01,14,17.875,9.9375,10.3125
2019,01,17,17.8125,10.375,10.375
2019,01,19,17.75,10.125,10.375
2019,01,26,18,10.625,10.5625
2019,01,27,18.0625,10.625,10.625
2019,01,28,17.9375,10.5,10.375
2019,02,04,18.0625,10.625,10.8125
2019,02,06,18.0625,10.875,10.875
2019,02,08,18,10.5625,10.6875
2019,02,10,17.9375,10.625,10.6875
2019,02,13,18.0625,10.625,10.8125
2019,02,15,17.875,NA,NA
2019,02,26,17.8125,10.375,10.4375
2019,02,28,17.625,10.25,10.3125
2019,03,03,17.4375,10.3125,10.1875
2019,03,05,17.5625,10.4375,10.5
2019,03,19,18.0625,9.9375,9.875
2019,03,21,18.0625,10.125,10.0625
2019,03,23,17.9375,10.0625,10.0625
2019,03,25,17.9375,10.0625,10.0625
2019,03,31,17.8125,10.4375,10.375
2019,04,05,17.8125,10.25,10.4375
2019,04,07,17.875,10.25,10.4375
2019,04,09,17.9375,10.375,10.4375
2019,04,11,17.9375,10.375,10.375
2019,04,15,17.625,9.9375,9.9375
2019,04,21,17.625,10.3125,10.125
2019,04,24,17.6875,10.375,10.1875
2019,04,30,17.5625,10.0625,9.8125
2019,05,03,17.5,10.3125,10.0625
2019,05,06,17.5625,10.0625,10.0625
2019,05,10,17.25,10.1875,10.125
2019,05,17,17.5,10.25,10.0625
2019,05,31,17.25,9.875,9.5
2019,06,08,18.0625,10.4375,9.875
2019,06,12,17.6875,10.3125,9.5625
2019,06,15,17.75,10.25,9.5
2019,06,21,18.25,10.5625,9.5625
2019,07,03,18,10,9.3125
2019,07,08,18.0625,10.6875,9.375
2019,07,16,18.375,10.4375,8.9375
2019,07,19,18.125,10.375,9
2019,07,23,NA,10.25,8.75
2019,07,26,18.1875,10.25,9
2019,07,30,18.125,10.25,8.75
2019,08,04,18.1875,10.375,8.6875
2019,08,06,18.1875,10.4375,8.8125
2019,08,10,17.9375,10.1875,8.75
2019,08,14,7.9375,10.4375,8.875
2019,08,18,18,10.25,8.6875
2019,08,22,17.875,10.375,8.5625
2019,08,25,17.9375,10.3125,8.375
2019,08,28,17.8125,10.3125,8.125
2019,09,03,17.875,9.875,NA
2019,09,06,17.4375,10.125,8
2019,09,22,17.875,9.9375,NA
2019,09,25,17.625,10.1875,NA
2019,10,02,17.5625,10.25,NA
2019,10,07,17.5,10.0625,NA
2019,10,11,17.375,10.25,NA
2019,10,15,17.5625,10.3125,NA
2019,10,19,17.6875,10.1875,NA
2019,10,22,17.6875,10.3125,NA
2019,11,04,17.125,9.125,NA
2019,11,06,17.375,9.625,NA
2019,11,10,17.5625,10,NA
2019,11,17,17.3125,9.75,NA
2019,11,24,17.625,9.875,NA
2019,11,30,17.375,9.75,NA
2019,12,07,17.5,9.875,NA
2019,12,12,17.75,10,NA
2019,12,15,17.875,10,NA
2019,12,19,17.8125,9.875,NA
2019,12,30,17.8125,9.875,NA
2020,01,11,17.5625,9.625,NA
2020,01,13,17.625,9.5625,NA
2020,01,19,17.9375,9.6875,NA
2020,01,22,17.875,9.8125,NA
2020,01,29,18,9.9375,NA
2020,02,03,17.3125,9.3125,NA
2020,02,06,17.375,9.625,NA
2020,02,13,17.4375,9.9375,NA
2020,02,18,17.25,9.25,NA
2020,02,25,17.3125,9.75,NA
2020,03,04,17.5,10.0625,NA
2020,03,10,17.5,10,NA
2020,03,13,17.5,9.9375,NA
2020,03,20,17.625,10.1875,NA
2020,03,24,17.5625,10.0625,NA
2020,03,30,17.875,10.0625,NA
2020,04,03,17.875,10.0625,NA
2020,04,06,17.8125,10.3125,NA
2020,04,10,17.8125,10.1875,NA
2020,04,17,17.9375,10.5,NA
2020,04,20,17.9375,10.5625,NA
2020,04,26,18.125,10.375,NA
2020,05,02,18.3125,10.375,NA
2020,05,06,18.1875,10.4375,NA
2020,05,12,18.375,10.375,NA
2020,05,16,18.375,10.5,NA
2020,05,20,18.4375,10.5625,NA
2020,05,22,18.5625,10.8125,NA
2020,05,23,18.3125,10.625,NA
2020,05,30,18.3125,10.5,NA
2020,06,04,18.3125,10.25,NA
2020,06,09,18.4375,10.5,NA
2020,06,10,18.1875,10.375,NA
2020,06,13,18.125,10.5625,NA
2020,06,16,18.4375,10.4375,NA
2020,06,18,18.5,10.4375,NA
2020,06,21,18.1875,10.4375,NA
2020,06,23,18.3125,10.5,NA
2020,07,12,18.5625,10.5,NA
2020,07,13,18.375,NA,NA
2020,07,14,18.375,NA,NA
2020,07,15,18.5,10.375,NA
2020,07,17,18.3125,10.75,NA
2020,07,18,18.5625,NA,NA
2020,07,20,18.625,10.4375,NA
2020,07,23,18.625,NA,NA
2020,07,24,18.5,10.5625,NA
2020,07,27,18.5625,10.5,NA
2020,07,29,18.375,10.5,NA
2020,07,31,18.4375,10.4375,NA
2020,08,02,18.5625,10.625,NA
2020,08,03,18.4375,10.5,NA
2020,08,04,18.5625,10.4375,NA
2020,08,06,18.5,10.5625,NA
2020,08,07,18.3125,10.375,NA
2020,09,01,18.5625,9.375,NA
2020,09,07,18.1875,9.9375,NA
